,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,BiEncScore,CrossEncScore,Alternates_CE_Top3,IsConfident
2,Acradis PAA Salary,Design Management,Design Manager - North,Classification: Acradis PAA Salary | Discipline: Design Management | Position: Design Manager - North,Design manager,Ro_50_10_22,0.5543,-3.6704,"[{'title': 'Design roles', 'code': 'Ro_50', 'ce_score': -6.777615547180176}, {'title': 'Building design roles', 'code': 'Ro_50_10', 'ce_score': -7.7109551429748535}]",False
13,Experienced engineer 2,Road Civil,Road Design Lead - Zone 1,Classification: Experienced engineer 2 | Discipline: Road Civil | Position: Road Design Lead - Zone 1,Design lead,Ro_30_50_25,0.5609,-3.1441,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -4.4729461669921875}, {'title': 'Construction lead', 'code': 'Ro_30_50_19', 'ce_score': -5.331209182739258}]",False
14,Acradis PAA Salary,Road Design,Road Design Lead - Zone 2,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Design Lead - Zone 2,Highways engineer,Ro_50_20_41,0.4422,-8.4225,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -8.544866561889648}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -8.937690734863281}]",False
15,Acradis PAA Salary,Road Design,Road Design Lead - Optioneering,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Design Lead - Optioneering,Design lead,Ro_30_50_25,0.4652,-4.6555,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -8.149023056030273}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -8.495784759521484}]",False
16,Acradis PAA Salary,Road Design,Road Designer - Optioneering,Classification: Acradis PAA Salary | Discipline: Road Design | Position: Road Designer - Optioneering,Urban designer,Ro_50_30_94,0.491,-7.2652,"[{'title': 'Landscape designer', 'code': 'Ro_50_30_48', 'ce_score': -7.417132377624512}, {'title': 'Principal designer', 'code': 'Ro_30_30_68', 'ce_score': -7.453099250793457}]",False
17,Acradis PAA Salary,Digital Engineering,Road Design Lead - Traffic Staging,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Road Design Lead - Traffic Staging,Digital engineer,Ro_50_20_26,0.5701,-4.9064,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -6.826701641082764}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -7.794351577758789}]",False
18,Acradis PAA Salary,Flooding,Flood Modeller,Classification: Acradis PAA Salary | Discipline: Flooding | Position: Flood Modeller,Flood and coastal risk management officer,Ro_30_30_29,0.5654,-4.6977,"[{'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'ce_score': -6.631369590759277}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -8.036031723022461}]",False
19,Acradis PAA Salary,Drainage,Tunnel Drainage Lead,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Tunnel Drainage Lead,Drainage engineer,Ro_50_20_28,0.4741,-5.5178,"[{'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'ce_score': -7.354336738586426}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -8.977386474609375}]",False
20,Experienced engineer 2,Drainage,Surface Drainage Engineer,Classification: Experienced engineer 2 | Discipline: Drainage | Position: Surface Drainage Engineer,Drainage engineer,Ro_50_20_28,0.8279,0.5545,"[{'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -5.455837726593018}, {'title': 'Geotechnical engineer', 'code': 'Ro_50_20_37', 'ce_score': -6.220760822296143}]",True
21,Arcadis GEC,Drainage,Drainage Engineer,Classification: Arcadis GEC | Discipline: Drainage | Position: Drainage Engineer,Drainage engineer,Ro_50_20_28,0.6796,-0.2087,"[{'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -6.667745590209961}, {'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -6.942544937133789}]",False
22,Acradis PAA Salary,Drainage,Tunnel Drainage,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Tunnel Drainage,Drainage engineer,Ro_50_20_28,0.4867,-5.6711,"[{'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'ce_score': -7.407430171966553}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.077665328979492}]",False
23,Acradis PAA Salary,Drainage,Tunnel Drainage,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Tunnel Drainage,Drainage engineer,Ro_50_20_28,0.4867,-5.6711,"[{'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'ce_score': -7.407430171966553}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.077665328979492}]",False
24,Acradis PAA Salary,Pavements,Pavement Discipline Lead,Classification: Acradis PAA Salary | Discipline: Pavements | Position: Pavement Discipline Lead,Traffic engineer,Ro_50_20_90,0.4143,-7.7224,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -8.274293899536133}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -8.45896053314209}]",False
25,Acradis PAA Salary,Pavements,Pavement Lead,Classification: Acradis PAA Salary | Discipline: Pavements | Position: Pavement Lead,Construction lead,Ro_30_50_19,0.4116,-5.1944,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -7.774040222167969}, {'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'ce_score': -8.451236724853516}]",False
26,Acradis PAA Salary,Pavements,Pavement Engineer,Classification: Acradis PAA Salary | Discipline: Pavements | Position: Pavement Engineer,Traffic engineer,Ro_50_20_90,0.5085,-4.9542,"[{'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -5.392901420593262}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -5.655187129974365}]",False
27,Engineer 2,Utilities,Utilities Lead - South,Classification: Engineer 2 | Discipline: Utilities | Position: Utilities Lead - South,Utilities surveyor,Ro_70_10_93,0.494,-4.3908,"[{'title': 'Construction lead', 'code': 'Ro_30_50_19', 'ce_score': -5.16134786605835}, {'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -5.265200138092041}]",False
28,Acradis PAA Salary,Utilities,Utilities Engineer - South,Classification: Acradis PAA Salary | Discipline: Utilities | Position: Utilities Engineer - South,Utilities surveyor,Ro_70_10_93,0.4447,-5.2454,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -7.46933126449585}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'ce_score': -8.278712272644043}]",False
29,Graduate Engineer,Utilities,Utilities Engineer - North,Classification: Graduate Engineer | Discipline: Utilities | Position: Utilities Engineer - North,Utilities surveyor,Ro_70_10_93,0.5763,-2.188,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -5.090872287750244}, {'title': 'Electrician', 'code': 'Ro_70_60_27', 'ce_score': -5.4429168701171875}]",False
30,Arcadis GEC,Utilities,Team Member,Classification: Arcadis GEC | Discipline: Utilities | Position: Team Member,Task team lead,Ro_30_50_90,0.3926,-8.1481,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -8.331883430480957}, {'title': 'Management roles', 'code': 'Ro_10', 'ce_score': -9.555771827697754}]",False
31,Acradis PAA Salary,Utilities,Utilities Modeller,Classification: Acradis PAA Salary | Discipline: Utilities | Position: Utilities Modeller,Utilities surveyor,Ro_70_10_93,0.4335,-4.7077,"[{'title': 'Electrician', 'code': 'Ro_70_60_27', 'ce_score': -9.049060821533203}, {'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -9.06147289276123}]",False
32,Acradis PAA Salary,Utilities,Utilities Engineer,Classification: Acradis PAA Salary | Discipline: Utilities | Position: Utilities Engineer,Utilities surveyor,Ro_70_10_93,0.4586,-4.2187,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -6.849557399749756}, {'title': 'Electrician', 'code': 'Ro_70_60_27', 'ce_score': -7.720665454864502}]",False
33,Acradis PAA Salary,Geotechnical,Geotechnical Lead - Cut & Covers,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Geotechnical Lead - Cut & Covers,Geotechnical engineer,Ro_50_20_37,0.6182,-5.0984,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -5.8281025886535645}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.588879585266113}]",False
34,Acradis PAA Salary,Geotechnical,Geotech Engineer - Cut & Covers,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Geotech Engineer - Cut & Covers,Geotechnical engineer,Ro_50_20_37,0.6372,-3.4111,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -4.855317115783691}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.4120683670043945}]",False
35,Acradis PAA Salary,Geotechnical,Geotech Design Structures Lead,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Geotech Design Structures Lead,Geotechnical engineer,Ro_50_20_37,0.6595,-4.6517,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -5.672722339630127}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -7.705484390258789}]",False
36,Senior Engineer,Geotechnical,Geotech Design Structures,Classification: Senior Engineer | Discipline: Geotechnical | Position: Geotech Design Structures,Geotechnical engineer,Ro_50_20_37,0.7835,0.5834,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -2.0555553436279297}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -3.9155385494232178}]",True
37,Acradis PAA Salary,Geotechnical,Hydrogeology Lead,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Hydrogeology Lead,Geotechnical engineer,Ro_50_20_37,0.6003,-5.6017,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -6.341336250305176}, {'title': 'Hydrologist', 'code': 'Ro_70_30_39', 'ce_score': -7.891034126281738}]",False
38,Senior Engineer,Structures,STSP Lead,Classification: Senior Engineer | Discipline: Structures | Position: STSP Lead,Construction lead,Ro_30_50_19,0.5461,-3.2089,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -4.317140579223633}, {'title': 'Design lead', 'code': 'Ro_30_50_25', 'ce_score': -4.883715629577637}]",False
39,Acradis PAA Salary,Structures,Bridges/Structures - South,Classification: Acradis PAA Salary | Discipline: Structures | Position: Bridges/Structures - South,Bridge engineer,Ro_50_20_06,0.4085,-8.3057,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.316797256469727}, {'title': 'Associate', 'code': 'Ro_10_10_05', 'ce_score': -8.877279281616211}]",False
40,Acradis PAA Salary,Structures,Package Lead,Classification: Acradis PAA Salary | Discipline: Structures | Position: Package Lead,Procurement manager,Ro_30_10_65,0.3974,-9.6093,"[{'title': 'Procurement consultant', 'code': 'Ro_10_40_65', 'ce_score': -9.792396545410156}, {'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -10.323683738708496}]",False
41,Arcadis GEC,Structures,Bridges/Structures - North - GEC,Classification: Arcadis GEC | Discipline: Structures | Position: Bridges/Structures - North - GEC,Bridge engineer,Ro_50_20_06,0.3982,-7.8536,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.211557388305664}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -8.37841796875}]",False
42,Arcadis GEC,Structures,Civil Structures - Bridges - Team 4,Classification: Arcadis GEC | Discipline: Structures | Position: Civil Structures - Bridges - Team 4,Civil engineer,Ro_50_20_11,0.4853,-7.1121,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -7.852536201477051}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.109195709228516}]",False
43,Arcadis GEC,Structures,Retaining Wall Engineer - South,Classification: Arcadis GEC | Discipline: Structures | Position: Retaining Wall Engineer - South,Structural engineer,Ro_50_20_83,0.4791,-6.4227,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -7.6822381019592285}, {'title': 'Civil engineer', 'code': 'Ro_50_20_11', 'ce_score': -7.787986755371094}]",False
44,Acradis PAA Salary,Tunnels,Cross passage permanent lining and collar,Classification: Acradis PAA Salary | Discipline: Tunnels | Position: Cross passage permanent lining and collar,Tunnel engineer,Ro_50_20_91,0.3934,-8.9254,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -9.99412727355957}, {'title': 'Associate', 'code': 'Ro_10_10_05', 'ce_score': -10.077260971069336}]",False
45,Engineer 2,In-tunnel Structures,In-tunnel Structures Engineer,Classification: Engineer 2 | Discipline: In-tunnel Structures | Position: In-tunnel Structures Engineer,Tunnel engineer,Ro_50_20_91,0.7398,-0.2868,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -2.416468620300293}, {'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -3.31577730178833}]",False
46,Leading drafter/modeller,Structures,Principal Structures CAD,Classification: Leading drafter/modeller | Discipline: Structures | Position: Principal Structures CAD,Principal designer,Ro_30_30_68,0.4763,-7.0595,"[{'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -8.758416175842285}, {'title': 'Architect', 'code': 'Ro_50_10_03', 'ce_score': -9.000160217285156}]",False
47,Graduate Engineer,Tunnels,Graduate Tunnel Engineer,Classification: Graduate Engineer | Discipline: Tunnels | Position: Graduate Tunnel Engineer,Tunnel engineer,Ro_50_20_91,0.7574,0.4755,"[{'title': 'Bridge engineer', 'code': 'Ro_50_20_06', 'ce_score': -3.570406675338745}, {'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -3.938302993774414}]",False
48,Senior Associate,Tunnels,Tunnel IV,Classification: Senior Associate | Discipline: Tunnels | Position: Tunnel IV,Associate,Ro_10_10_05,0.668,-2.5418,"[{'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'ce_score': -3.236786365509033}, {'title': 'Rail engineer', 'code': 'Ro_50_20_70', 'ce_score': -5.997748374938965}]",False
49,Senior Leading Drafter/Modeller,Tunnels,Lead Tunnel Drafter,Classification: Senior Leading Drafter/Modeller | Discipline: Tunnels | Position: Lead Tunnel Drafter,Tunnel engineer,Ro_50_20_91,0.5301,-5.1291,"[{'title': 'Team lead roles', 'code': 'Ro_30_50', 'ce_score': -5.892824172973633}, {'title': 'Task team lead', 'code': 'Ro_30_50_90', 'ce_score': -6.55451774597168}]",False
50,Acradis PAA Salary,Structures,Structures Principal Technician,Classification: Acradis PAA Salary | Discipline: Structures | Position: Structures Principal Technician,Principal contractor,Ro_30_30_67,0.4888,-6.4601,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -6.479015350341797}, {'title': 'Technician', 'code': 'Ro_10_10_88', 'ce_score': -6.881687164306641}]",False
51,Arcadis GEC,Drafting,BIM Modeller/ Drafter,Classification: Arcadis GEC | Discipline: Drafting | Position: BIM Modeller/ Drafter,Architect,Ro_50_10_03,0.4009,-9.5603,"[{'title': 'Design manager', 'code': 'Ro_50_10_22', 'ce_score': -9.635177612304688}, {'title': 'Planning officer', 'code': 'Ro_30_30_65', 'ce_score': -9.665270805358887}]",False
52,Acradis PAA Salary,Digital Engineering,Structures CAD and REVIT modelling Lead,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Structures CAD and REVIT modelling Lead,Digital engineer,Ro_50_20_26,0.5021,-6.1602,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.251729965209961}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -9.169778823852539}]",False
53,Acradis PAA Salary,Drafting,Revit Modeller / Drafter,Classification: Acradis PAA Salary | Discipline: Drafting | Position: Revit Modeller / Drafter,Associate,Ro_10_10_05,0.3903,-9.7426,"[{'title': 'Planning officer', 'code': 'Ro_30_30_65', 'ce_score': -10.093875885009766}, {'title': 'Procurement manager', 'code': 'Ro_30_10_65', 'ce_score': -10.13420295715332}]",False
54,Senior drafter/modeller,Structures,Structures Technician,Classification: Senior drafter/modeller | Discipline: Structures | Position: Structures Technician,Structural engineer,Ro_50_20_83,0.5747,-4.6964,"[{'title': 'Technician', 'code': 'Ro_10_10_88', 'ce_score': -4.960634231567383}, {'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -5.422262191772461}]",False
55,Leading drafter/modeller,Structures,Structures Principal Technician,Classification: Leading drafter/modeller | Discipline: Structures | Position: Structures Principal Technician,Structural engineer,Ro_50_20_83,0.5353,-5.4515,"[{'title': 'Technician', 'code': 'Ro_10_10_88', 'ce_score': -5.510530948638916}, {'title': 'Principal designer', 'code': 'Ro_30_30_68', 'ce_score': -5.897575855255127}]",False
56,Acradis PAA Salary,Road Civil,Street Lighting SRE,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: Street Lighting SRE,Street works operative,Ro_70_70_85,0.4113,-8.4027,"[{'title': 'Lighting designer', 'code': 'Ro_50_10_50', 'ce_score': -8.579233169555664}, {'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -9.303696632385254}]",False
57,Acradis PAA Salary,ITS (Surface),ITS SRE,Classification: Acradis PAA Salary | Discipline: ITS (Surface) | Position: ITS SRE,Associate,Ro_10_10_05,0.3876,-10.1744,"[{'title': 'Architectural technologist', 'code': 'Ro_50_10_05', 'ce_score': -10.263629913330078}, {'title': 'Telecommunication engineer', 'code': 'Ro_50_20_88', 'ce_score': -10.361846923828125}]",False
58,Acradis PAA Salary,Utilities,Utilities & Tunnel Conduits SRE,Classification: Acradis PAA Salary | Discipline: Utilities | Position: Utilities & Tunnel Conduits SRE,Utilities surveyor,Ro_70_10_93,0.4233,-5.9985,"[{'title': 'Tunnel engineer', 'code': 'Ro_50_20_91', 'ce_score': -7.149417877197266}, {'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'ce_score': -8.589449882507324}]",False
59,Leading drafter/modeller,Buildings,Buildings CAD/REVIT Lead,Classification: Leading drafter/modeller | Discipline: Buildings | Position: Buildings CAD/REVIT Lead,Design lead,Ro_30_50_25,0.5411,-5.1805,"[{'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -6.146128177642822}, {'title': 'Building inspector', 'code': 'Ro_70_10_10', 'ce_score': -8.08686351776123}]",False
60,Acradis PAA Salary,In-tunnel Structures,Buildings Structures Lead,Classification: Acradis PAA Salary | Discipline: In-tunnel Structures | Position: Buildings Structures Lead,Tunnel engineer,Ro_50_20_91,0.5146,-6.8793,"[{'title': 'Structural engineer', 'code': 'Ro_50_20_83', 'ce_score': -8.500384330749512}, {'title': 'Building services engineer', 'code': 'Ro_50_20_08', 'ce_score': -8.664346694946289}]",False
61,Acradis PAA Salary,Structures,Bridges Lead,Classification: Acradis PAA Salary | Discipline: Structures | Position: Bridges Lead,Bridge engineer,Ro_50_20_06,0.3937,-7.4803,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -9.30417537689209}, {'title': 'Associate', 'code': 'Ro_10_10_05', 'ce_score': -9.992027282714844}]",False
62,Acradis PAA Salary,Geotechnical,Contamination Lead,Classification: Acradis PAA Salary | Discipline: Geotechnical | Position: Contamination Lead,Geotechnical engineer,Ro_50_20_37,0.5454,-6.4912,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'ce_score': -7.198457717895508}, {'title': 'Construction lead', 'code': 'Ro_30_50_19', 'ce_score': -8.31113052368164}]",False
63,Acradis PAA Salary,Structures,Cut & Cover Lead,Classification: Acradis PAA Salary | Discipline: Structures | Position: Cut & Cover Lead,Associate,Ro_10_10_05,0.3723,-10.5139,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'ce_score': -10.721866607666016}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -10.766813278198242}]",False
64,Acradis PAA Salary,Durability,Durability Lead,Classification: Acradis PAA Salary | Discipline: Durability | Position: Durability Lead,Reliability engineer,Ro_50_20_72,0.3645,-9.9889,"[{'title': 'Associate', 'code': 'Ro_10_10_05', 'ce_score': -10.063477516174316}, {'title': 'Public health engineer', 'code': 'Ro_50_20_68', 'ce_score': -10.539026260375977}]",False
65,Senior Associate,Structures,Sustainability Lead,Classification: Senior Associate | Discipline: Structures | Position: Sustainability Lead,Sustainability consultant,Ro_70_30_85,0.5995,-3.4453,"[{'title': 'Sustainability assessor', 'code': 'Ro_70_30_84', 'ce_score': -3.6949050426483154}, {'title': 'Project lead', 'code': 'Ro_30_50_70', 'ce_score': -5.281715393066406}]",False
66,Acradis PAA Salary,Structures,NTSP Lead,Classification: Acradis PAA Salary | Discipline: Structures | Position: NTSP Lead,Associate,Ro_10_10_05,0.3845,-9.9562,"[{'title': 'Development control officer', 'code': 'Ro_30_30_20', 'ce_score': -9.981294631958008}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'ce_score': -10.041309356689453}]",False
67,Acradis PAA Salary,Traffic Modelling,Traffic Modelling SRE,Classification: Acradis PAA Salary | Discipline: Traffic Modelling | Position: Traffic Modelling SRE,Traffic consultant,Ro_10_40_88,0.5824,-5.5279,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'ce_score': -5.55490779876709}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'ce_score': -7.328866004943848}]",False
68,Technical Director,Environment,Environmental Consultant,Classification: Technical Director | Discipline: Environment | Position: Environmental Consultant,Environmental consultant,Ro_70_30_28,0.7257,1.4587,"[{'title': 'Sustainability consultant', 'code': 'Ro_70_30_85', 'ce_score': -1.6896928548812866}, {'title': 'Environmental officer', 'code': 'Ro_30_30_26', 'ce_score': -1.9829903841018677}]",True
69,Acradis PAA Salary,Environment,Environmental Consultant,Classification: Acradis PAA Salary | Discipline: Environment | Position: Environmental Consultant,Environmental consultant,Ro_70_30_28,0.6134,-2.0558,"[{'title': 'Environmental officer', 'code': 'Ro_30_30_26', 'ce_score': -4.700154781341553}, {'title': 'Sustainability consultant', 'code': 'Ro_70_30_85', 'ce_score': -4.770218372344971}]",False
70,Senior Associate,Contamination,Contamination Consultant,Classification: Senior Associate | Discipline: Contamination | Position: Contamination Consultant,Associate,Ro_10_10_05,0.5551,-3.0282,"[{'title': 'Environmental consultant', 'code': 'Ro_70_30_28', 'ce_score': -3.3332810401916504}, {'title': 'Health and safety consultant', 'code': 'Ro_30_10_36', 'ce_score': -3.9361460208892822}]",False
71,Associate,Environment,Sustainability Consultant,Classification: Associate | Discipline: Environment | Position: Sustainability Consultant,Sustainability consultant,Ro_70_30_85,0.7462,2.0478,"[{'title': 'Environmental consultant', 'code': 'Ro_70_30_28', 'ce_score': 1.0911762714385986}, {'title': 'Sustainability assessor', 'code': 'Ro_70_30_84', 'ce_score': -1.3720148801803589}]",True
