ID,ClassificationID,ClassificationCode,Classification,Position
2165,13.0,P9,Graduate Engineer,Graduate Tunnel Engineer
2166,4.0,P3,Senior Associate,Tunnel IV
2167,14.0,P20,Senior Leading Drafter/Modeller,Lead Tunnel Drafter
2168,35.0,ARC_S,Acradis PAA Salary,Structures Principal Technician
2169,38.0,ARC_G,Arcadis GEC,BIM Modeller/ Drafter
2170,35.0,ARC_S,Acradis PAA Salary,Structures CAD and REVIT modelling Lead
2171,35.0,ARC_S,Acradis PAA Salary,Revit Modeller / Drafter
2172,16.0,P22,Senior drafter/modeller,Structures Technician
2173,15.0,P21,Leading drafter/modeller,Structures Principal Technician
2174,35.0,ARC_S,Acradis PAA Salary,Street Lighting SRE
2175,35.0,ARC_S,Acradis PAA Salary,ITS SRE
2176,35.0,ARC_S,Acradis PAA Salary,Utilities & Tunnel Conduits SRE
2177,15.0,P21,Leading drafter/modeller,Buildings CAD/REVIT Lead
2178,35.0,ARC_S,Acradis PAA Salary,Buildings Structures Lead
2179,35.0,ARC_S,Acradis PAA Salary,Bridges Lead
2180,35.0,ARC_S,Acradis PAA Salary,Contamination Lead
2181,35.0,ARC_S,Acradis PAA Salary,Cut & Cover Lead
2182,35.0,ARC_S,Acradis PAA Salary,Durability Lead
2183,4.0,P3,Senior Associate,Sustainability Lead
2184,35.0,ARC_S,Acradis PAA Salary,NTSP Lead
2185,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling SRE
2186,3.0,P2,Technical Director,Environmental Consultant
2187,35.0,ARC_S,Acradis PAA Salary,Environmental Consultant
2188,4.0,P3,Senior Associate,Contamination Consultant
2189,5.0,P4,Associate,Sustainability Consultant
2190,8.0,P7,Experienced engineer 2,Sustainability Consultant
2191,16.0,P22,Senior drafter/modeller,Drainage CAD
2192,5.0,P4,Associate,Digital Engineering Expert - PW
2193,11.0,P8a,Engineer 2,Document Controller
2194,35.0,ARC_S,Acradis PAA Salary,Reviewer
2195,35.0,ARC_S,Acradis PAA Salary,ALT Member
2196,3.0,P2,Technical Director,Shafts Discipline Lead
2197,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling Lead
2198,10.0,P8,Engineer 1,Traffic Modeller - North
2199,13.0,P9,Graduate Engineer,Traffic Modeller - North
2200,35.0,ARC_S,Acradis PAA Salary,Temp Works Traffic Modeller
2201,8.0,P7,Experienced engineer 2,Maintenance & Operational Centers
2202,11.0,P8a,Engineer 2,Road Engineer
2203,35.0,ARC_S,Acradis PAA Salary,Retaining Wall Lead
2204,35.0,ARC_S,Acradis PAA Salary,Flood Modeller
2205,8.0,P7,Experienced engineer 2,Lead Cost Controller
2206,10.0,P8,Engineer 1,Geotechnical Engineer
2207,35.0,ARC_S,Acradis PAA Salary,Road Designer - Optioneering
2208,35.0,ARC_S,Acradis PAA Salary,Road CAD
2209,35.0,ARC_S,Acradis PAA Salary,Roads Lead South
2210,38.0,ARC_G,Arcadis GEC,Roads Designer
2211,38.0,ARC_G,Arcadis GEC,Road Designer
2212,35.0,ARC_S,Acradis PAA Salary,Pavement CAD
2213,35.0,ARC_S,Acradis PAA Salary,Lighting Engineer/Designer
2214,38.0,ARC_G,Arcadis GEC,Principal CAD Technician
2215,35.0,ARC_S,Acradis PAA Salary,Cut and Cover Engineer - NTSP
2216,18.0,P24,Qualified drafter/modeller,Structures BIM Coordinator
2217,35.0,ARC_S,Acradis PAA Salary,Cut&Cover IV
2218,36.0,JCB_S,Jacobs PAA Salary,Civil BIM Coordinator
2219,36.0,JCB_S,Jacobs PAA Salary,Civil BIM Coordinator
2220,36.0,JCB_S,Jacobs PAA Salary,CAD Drafter - Roads - 4
2221,7.0,P6,Experienced engineer 1,"M&E, Civil and Structures Interface Manager"
2222,12.0,P8b,Engineer 3,Road Furniture Engineer
2223,36.0,JCB_S,Jacobs PAA Salary,Road Designer - Zone 2
2224,36.0,JCB_S,Jacobs PAA Salary,Road Design Lead - Zone 3
2225,36.0,JCB_S,Jacobs PAA Salary,Road Designer - Optioneering
2226,3.0,P2,Technical Director,Road Designer - Traffic Staging
2227,36.0,JCB_S,Jacobs PAA Salary,Road Designer - Traffic Staging
2228,36.0,JCB_S,Jacobs PAA Salary,Drainage Discipline IV
2229,36.0,JCB_S,Jacobs PAA Salary,Flood Modelling Reviewer/IV
2230,36.0,JCB_S,Jacobs PAA Salary,Flood Modeller
2231,36.0,JCB_S,Jacobs PAA Salary,Drainage Engineer
2232,36.0,JCB_S,Jacobs PAA Salary,Surface Drainage Lead
2233,36.0,JCB_S,Jacobs PAA Salary,Surface Drainage Engineer
2234,36.0,JCB_S,Jacobs PAA Salary,Surface Drainage Engineer
2235,36.0,JCB_S,Jacobs PAA Salary,Pavement Engineer
2236,36.0,JCB_S,Jacobs PAA Salary,CAD Drafter - Roads
2237,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Lead
2238,36.0,JCB_S,Jacobs PAA Salary,GIR Lead
2239,36.0,JCB_S,Jacobs PAA Salary,Geotech Design of Structures
2240,36.0,JCB_S,Jacobs PAA Salary,GIR Modelling
2241,36.0,JCB_S,Jacobs PAA Salary,Hydrogeologist
2242,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2243,36.0,JCB_S,Jacobs PAA Salary,Ground Settlement and Impacts Lead
2244,36.0,JCB_S,Jacobs PAA Salary,Retaining Wall Engineer
2245,36.0,JCB_S,Jacobs PAA Salary,Retaining Walls - South
2246,36.0,JCB_S,Jacobs PAA Salary,Tunnel Lining:  TBM Mainline Design
2247,36.0,JCB_S,Jacobs PAA Salary,Tunnel Lining:  Cross Passages and Collars
2248,36.0,JCB_S,Jacobs PAA Salary,Parklands and Community Open Space Civil Design
2249,36.0,JCB_S,Jacobs PAA Salary,CAD Drafting - Utilities
2250,36.0,JCB_S,Jacobs PAA Salary,REVIT Modeller
2251,36.0,JCB_S,Jacobs PAA Salary,Bridge Lead - Melbourne
2252,36.0,JCB_S,Jacobs PAA Salary,Structures SRE
2253,8.0,P7,Experienced engineer 2,Air Quality IV
2254,36.0,JCB_S,Jacobs PAA Salary,Technical Reviewer
2255,36.0,JCB_S,Jacobs PAA Salary,Misc. Structures Lead
2256,36.0,JCB_S,Jacobs PAA Salary,Planning Lead
2257,36.0,JCB_S,Jacobs PAA Salary,Tunnel Lighting Lead
2258,36.0,JCB_S,Jacobs PAA Salary,Project Manager
2259,36.0,JCB_S,Jacobs PAA Salary,Design Manager - South
2260,36.0,JCB_S,Jacobs PAA Salary,Tunnel Design SRE
2261,36.0,JCB_S,Jacobs PAA Salary,Roads Package Lead
2262,36.0,JCB_S,Jacobs PAA Salary,Roads Package Lead
2263,36.0,JCB_S,Jacobs PAA Salary,Environment Lead
2264,36.0,JCB_S,Jacobs PAA Salary,Utilities & Tunnel Conduits SRE
2265,7.0,P6,Experienced engineer 1,Contamination IV
2266,36.0,JCB_S,Jacobs PAA Salary,Cut & Cover Lead
2267,36.0,JCB_S,Jacobs PAA Salary,Sustainability Lead
2268,36.0,JCB_S,Jacobs PAA Salary,Tunnel Design SRE
2269,36.0,JCB_S,Jacobs PAA Salary,Traffic & Transport Advisory
2270,36.0,JCB_S,Jacobs PAA Salary,Road Alignment Lead
2271,36.0,JCB_S,Jacobs PAA Salary,Technical Manager
2272,36.0,JCB_S,Jacobs PAA Salary,ALT Member
2273,36.0,JCB_S,Jacobs PAA Salary,Cost Controller
2274,8.0,P7,Experienced engineer 2,Scheduler
2275,36.0,JCB_S,Jacobs PAA Salary,Road Engineer
2276,36.0,JCB_S,Jacobs PAA Salary,Planning Consultant
2277,36.0,JCB_S,Jacobs PAA Salary,Contamination Consultant
2278,36.0,JCB_S,Jacobs PAA Salary,Contamination Consultant
2279,36.0,JCB_S,Jacobs PAA Salary,Air Quality Lead
2280,36.0,JCB_S,Jacobs PAA Salary,Building Structures CAD
2281,4.0,P3,Senior Associate,Tunnel Drainage
2282,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Engineer
2283,36.0,JCB_S,Jacobs PAA Salary,Traffic Modeller Graduate
2284,36.0,JCB_S,Jacobs PAA Salary,ITW Manager
2285,7.0,P6,Experienced engineer 1,Civil Structures Engineer
2286,36.0,JCB_S,Jacobs PAA Salary,Civil Structures Engineer
2287,36.0,JCB_S,Jacobs PAA Salary,Civil Structures Engineer
2288,9.0,P7a,Experienced engineer 3,Civil Structures Engineer
2289,36.0,JCB_S,Jacobs PAA Salary,Civil Structures Engineer
2290,36.0,JCB_S,Jacobs PAA Salary,Civil Structures Engineer
2291,36.0,JCB_S,Jacobs PAA Salary,Civil Structures CAD Discipline Lead
2292,36.0,JCB_S,Jacobs PAA Salary,REVIT Modeller
2293,23.0,P21a,Principal drafter/modeller,REVIT Modeller
2294,36.0,JCB_S,Jacobs PAA Salary,Tunnel Lining Engineer
2295,7.0,P6,Experienced engineer 1,Cross Passages Engineer
2296,36.0,JCB_S,Jacobs PAA Salary,Cross Passages Engineer
2297,36.0,JCB_S,Jacobs PAA Salary,Sumps and Substations Discipline Lead
2298,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2299,36.0,JCB_S,Jacobs PAA Salary,Spaceproofing Discipline Lead
2300,36.0,JCB_S,Jacobs PAA Salary,Tunnel Internal Lead Drafter
2301,30.0,O7,OS Senior Technician,Tunnel Internal Drafter
2302,36.0,JCB_S,Jacobs PAA Salary,Buildings Structures Discipline Lead
2303,36.0,JCB_S,Jacobs PAA Salary,Reviewer
2304,36.0,JCB_S,Jacobs PAA Salary,Traffic Modelling Lead - South
2305,36.0,JCB_S,Jacobs PAA Salary,Traffic Modeller - South
2306,36.0,JCB_S,Jacobs PAA Salary,Traffic Modeller - South
2307,36.0,JCB_S,Jacobs PAA Salary,Traffic and Transport Planner - North
2308,36.0,JCB_S,Jacobs PAA Salary,IV Aimsun
2309,36.0,JCB_S,Jacobs PAA Salary,Temp Works Traffic Modeller
2310,36.0,JCB_S,Jacobs PAA Salary,Bridges IV
2311,36.0,JCB_S,Jacobs PAA Salary,BuildingsDiscipline  Lead
2312,36.0,JCB_S,Jacobs PAA Salary,Roads Engineer
2313,36.0,JCB_S,Jacobs PAA Salary,Road Safety Auditor - 3
2314,36.0,JCB_S,Jacobs PAA Salary,BID Manager
2315,8.0,P7,Experienced engineer 2,Hydrogeolist
2316,36.0,JCB_S,Jacobs PAA Salary,Leapfrog model review
2317,6.0,P5,Senior Engineer ,Quantity Surveyor - Supporting CNOP
2318,36.0,JCB_S,Jacobs PAA Salary,Pavement IV
2319,36.0,JCB_S,Jacobs PAA Salary,Project Engineer
2320,36.0,JCB_S,Jacobs PAA Salary,Drainage & Flooding Lead
2321,36.0,JCB_S,Jacobs PAA Salary,Sustainability Lead
2322,9.0,P7a,Experienced engineer 3,Climate Risk & Resilience
2323,36.0,JCB_S,Jacobs PAA Salary,Sustainability Consultant
2324,36.0,JCB_S,Jacobs PAA Salary,Geotech: Interpretive sections & Plans
2325,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Engineer
2326,36.0,JCB_S,Jacobs PAA Salary,Geotech Design Lead
2327,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Design Engineer
2328,36.0,JCB_S,Jacobs PAA Salary,Roads CAD
2329,9.0,P7a,Experienced engineer 3,Road Safety Auditor
2330,36.0,JCB_S,Jacobs PAA Salary,Utiltiy Lead North
2331,7.0,P6,Experienced engineer 1,Cut & Cover Engineer
2332,36.0,JCB_S,Jacobs PAA Salary,Flood Modelling Lead
2333,36.0,JCB_S,Jacobs PAA Salary,Surface Drainage Engineer
2334,36.0,JCB_S,Jacobs PAA Salary,Civil Spaceproofing Inputs
2335,35.0,ARC_S,Acradis PAA Salary,ALT - Back Up
2336,35.0,ARC_S,Acradis PAA Salary,Road Alignment North TOC
2337,35.0,ARC_S,Acradis PAA Salary,
2338,36.0,JCB_S,Jacobs PAA Salary,Geotechnical - Contam.
2339,36.0,JCB_S,Jacobs PAA Salary,Surface ITS Package Lead
2340,36.0,JCB_S,Jacobs PAA Salary,
2341,13.0,P9,Graduate Engineer,Assistant Project Manager
2342,35.0,ARC_S,Acradis PAA Salary,
2343,36.0,JCB_S,Jacobs PAA Salary,ITS Engineer
2344,35.0,ARC_S,Acradis PAA Salary,ITS engineer
2345,36.0,JCB_S,Jacobs PAA Salary,
2346,9.0,P7a,Experienced engineer 3,
2347,36.0,JCB_S,Jacobs PAA Salary,
2348,36.0,JCB_S,Jacobs PAA Salary,
2349,36.0,JCB_S,Jacobs PAA Salary,
2350,7.0,P6,Experienced engineer 1,
2351,36.0,JCB_S,Jacobs PAA Salary,Electrical Lead
2352,36.0,JCB_S,Jacobs PAA Salary,Road Engineer
2353,36.0,JCB_S,Jacobs PAA Salary,
2354,23.0,P21a,Principal drafter/modeller,
2355,35.0,ARC_S,Acradis PAA Salary,Assistant CAD Manager
2356,36.0,JCB_S,Jacobs PAA Salary,Zone Manager - Central (C3S)
2357,13.0,P9,Graduate Engineer,
2358,35.0,ARC_S,Acradis PAA Salary,Geotechnical Engineer
2359,35.0,ARC_S,Acradis PAA Salary,ITS Engineer
2360,36.0,JCB_S,Jacobs PAA Salary,Surface Water Quality & Water Treatment Engineer
2361,36.0,JCB_S,Jacobs PAA Salary,Road Engineer - Central
2362,35.0,ARC_S,Acradis PAA Salary,Project Engineer/Administrator
2363,35.0,ARC_S,Acradis PAA Salary,Drainage and Flooding Assistant Discipline Lead
2364,36.0,JCB_S,Jacobs PAA Salary,Building Structures SME
2365,36.0,JCB_S,Jacobs PAA Salary,BMI Lead SME
2366,36.0,JCB_S,Jacobs PAA Salary,
2367,2.0,P1,Design Discipline Lead/ SME,MCA Development
2368,2.0,P1,Design Discipline Lead/ SME,Durability
2369,4.0,P3,Senior Associate,Durability
2370,8.0,P7,Experienced engineer 2,
2371,4.0,P3,Senior Associate,Principal Structural Engineer
2372,5.0,P4,Associate,Principal Civil Engineer - Durability
2373,6.0,P5,Senior Engineer ,
2374,8.0,P7,Experienced engineer 2,Durability
2375,8.0,P7,Experienced engineer 2,
2376,10.0,P8,Engineer 1,Durability Consultant
2377,13.0,P9,Graduate Engineer,
2378,35.0,ARC_S,Acradis PAA Salary,Arcadis Mobilisation Manager / Project Admin
2379,36.0,JCB_S,Jacobs PAA Salary,
2380,,,,
2381,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2382,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2383,7.0,P6,Experienced engineer 1,
2384,13.0,P9,Graduate Engineer,
2385,26.0,O3,OS Experienced Engineer,
2386,26.0,O3,OS Experienced Engineer,
2387,25.0,O2,OS Senior Engineer,Engineer
2388,38.0,ARC_G,Arcadis GEC,Road Design - Permanent Works
2389,26.0,O3,OS Experienced Engineer,
2390,26.0,O3,OS Experienced Engineer,
2391,36.0,JCB_S,Jacobs PAA Salary,
2392,36.0,JCB_S,Jacobs PAA Salary,
2393,36.0,JCB_S,Jacobs PAA Salary,
2394,36.0,JCB_S,Jacobs PAA Salary,
2395,5.0,P4,Associate,
2396,6.0,P5,Senior Engineer ,
2397,8.0,P7,Experienced engineer 2,
2398,6.0,P5,Senior Engineer ,
2399,8.0,P7,Experienced engineer 2,
2400,8.0,P7,Experienced engineer 2,
2401,8.0,P7,Experienced engineer 2,
2402,12.0,P8b,Engineer 3,
2403,12.0,P8b,Engineer 3,
2404,12.0,P8b,Engineer 3,
2405,6.0,P5,Senior Engineer ,
2406,31.0,O8,OS Technician,
2407,36.0,JCB_S,Jacobs PAA Salary,Materials Specialist
2408,35.0,ARC_S,Acradis PAA Salary,Civil Engineer
2409,36.0,JCB_S,Jacobs PAA Salary,Durability Consultant
2410,36.0,JCB_S,Jacobs PAA Salary,Groundwater Modeller
2411,35.0,ARC_S,Acradis PAA Salary,Lead Modeller
2412,35.0,ARC_S,Acradis PAA Salary,Utilities Engineer
2413,36.0,JCB_S,Jacobs PAA Salary,DNOP Project Manager
2414,36.0,JCB_S,Jacobs PAA Salary,
2415,,,,
2416,,,,
2417,,,,
2418,,,,Engineering and Technical Director
2419,,,,Deputy Bid Director
2420,,,,Lead Cost Controller
2421,,,,Project Controls Manager
2423,35.0,ARC_S,Acradis PAA Salary,Package Owner for BR17
2424,,,,
2425,36.0,JCB_S,Jacobs PAA Salary,C2S Package Lead
2426,36.0,JCB_S,Jacobs PAA Salary,
2427,36.0,JCB_S,Jacobs PAA Salary,Global Delivery
2428,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2430,36.0,JCB_S,Jacobs PAA Salary,"Blast SME, Tunnel Engineer"
2431,25.0,O2,OS Senior Engineer,
2432,13.0,P9,Graduate Engineer,
2433,35.0,ARC_S,Acradis PAA Salary,CAD Technician
2434,,,,
2435,38.0,ARC_G,Arcadis GEC,BIM Modeller
2436,38.0,ARC_G,Arcadis GEC,Road and Civil Designer
2437,36.0,JCB_S,Jacobs PAA Salary,Temporary works traffic engineer
2438,,,,MOC Civils
2439,36.0,JCB_S,Jacobs PAA Salary,Tunnel Engineer
2440,,,,
2441,8.0,P7,Experienced engineer 2,
2442,36.0,JCB_S,Jacobs PAA Salary,STSP Doorframe Slab PL
2443,36.0,JCB_S,Jacobs PAA Salary,Traffic Modeller
2444,38.0,ARC_G,Arcadis GEC,Civil Structures - Bridges - Drafter
2445,36.0,JCB_S,Jacobs PAA Salary,Revit Modeler/Tunnel Engineer
2446,38.0,ARC_G,Arcadis GEC,CAD Team Leader
2447,36.0,JCB_S,Jacobs PAA Salary,Safety in Design Manager
2448,,,,
2449,,,,
2450,36.0,JCB_S,Jacobs PAA Salary,Civil Structures - Retaining Walls Revit Modeller
2451,35.0,ARC_S,Acradis PAA Salary,Civil Structures - Bridges - Team 6 (Modeller)
2452,35.0,ARC_S,Acradis PAA Salary,Advisor
2453,,,,
2454,35.0,ARC_S,Acradis PAA Salary,Verifier
2455,,,,
2456,36.0,JCB_S,Jacobs PAA Salary,Retaining Walls Drafting
2457,35.0,ARC_S,Acradis PAA Salary,Tender Mobilisation Manager
2458,,,,Programmer
2459,,,,
2460,,,,
2461,35.0,ARC_S,Acradis PAA Salary,Structures Verifier
2462,35.0,ARC_S,Acradis PAA Salary,Associate Technical Director
2463,36.0,JCB_S,Jacobs PAA Salary,Tunnel Design
2464,,,,
2465,36.0,JCB_S,Jacobs PAA Salary,
2466,35.0,ARC_S,Acradis PAA Salary,Review / Verification
2467,35.0,ARC_S,Acradis PAA Salary,Independent Verifier/ Subject Matter Expert
2468,,,,
2469,,,,
2470,36.0,JCB_S,Jacobs PAA Salary,
2471,36.0,JCB_S,Jacobs PAA Salary,S1T S1S Geometry Lead
2472,36.0,JCB_S,Jacobs PAA Salary,Modeller
2474,36.0,JCB_S,Jacobs PAA Salary,
2475,36.0,JCB_S,Jacobs PAA Salary,Civil Structures - Bridges - Drafter
2476,36.0,JCB_S,Jacobs PAA Salary,
2478,36.0,JCB_S,Jacobs PAA Salary,
2479,36.0,JCB_S,Jacobs PAA Salary,
2480,36.0,JCB_S,Jacobs PAA Salary,Quality Auditor
2481,35.0,ARC_S,Acradis PAA Salary,Senior Technician
2482,,,,
2483,36.0,JCB_S,Jacobs PAA Salary,
2484,,,,Engineer
2485,,,,
2486,36.0,JCB_S,Jacobs PAA Salary,Environmental Engineer
2487,35.0,ARC_S,Acradis PAA Salary,DNOP Commercial Manager
2488,35.0,ARC_S,Acradis PAA Salary,Precinct Wide DM
2489,35.0,ARC_S,Acradis PAA Salary,S1S Zone Design Manager
2490,35.0,ARC_S,Acradis PAA Salary,
2491,35.0,ARC_S,Acradis PAA Salary,Drainage and Flooding Discipline Lead
2492,35.0,ARC_S,Acradis PAA Salary,Resource Manager
2493,35.0,ARC_S,Acradis PAA Salary,Design Manager
2494,35.0,ARC_S,Acradis PAA Salary,ITS Discipline Lead
2495,36.0,JCB_S,Jacobs PAA Salary,Operations Lead - DNOP
2496,36.0,JCB_S,Jacobs PAA Salary,Travel Coordintor
2497,36.0,JCB_S,Jacobs PAA Salary,Administration
2498,38.0,ARC_G,Arcadis GEC,Cost Controller
2499,36.0,JCB_S,Jacobs PAA Salary,Design Delivery Manager
2500,36.0,JCB_S,Jacobs PAA Salary,Discipline Lead Miscellaneous Structures
2501,36.0,JCB_S,Jacobs PAA Salary,Assistant Discipline Lead - Retaining Walls
2502,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Lead
2503,35.0,ARC_S,Acradis PAA Salary,
2504,35.0,ARC_S,Acradis PAA Salary,Scheduler
2505,35.0,ARC_S,Acradis PAA Salary,Scheduler
2506,35.0,ARC_S,Acradis PAA Salary,
2507,35.0,ARC_S,Acradis PAA Salary,Software Engineer/ Solution Architect
2508,38.0,ARC_G,Arcadis GEC,Software Developer
2509,38.0,ARC_G,Arcadis GEC,Web Developer
2510,38.0,ARC_G,Arcadis GEC,Software Developer
2511,36.0,JCB_S,Jacobs PAA Salary,BIM Lead (Utilities)
2512,36.0,JCB_S,Jacobs PAA Salary,Operational Support
2513,36.0,JCB_S,Jacobs PAA Salary,Verifier
2514,36.0,JCB_S,Jacobs PAA Salary,DE Lead
2515,35.0,ARC_S,Acradis PAA Salary,CAD Bridges Lead
2516,35.0,ARC_S,Acradis PAA Salary,Structural Design Engineer
2517,35.0,ARC_S,Acradis PAA Salary,Structural Package Lead
2518,35.0,ARC_S,Acradis PAA Salary,Drainage Engineer
2519,38.0,ARC_G,Arcadis GEC,Drainage BIM Support
2520,35.0,ARC_S,Acradis PAA Salary,Flood Engineer
2521,35.0,ARC_S,Acradis PAA Salary,Flood Modeller Package Lead
2522,35.0,ARC_S,Acradis PAA Salary,Principal Road Designer
2523,35.0,ARC_S,Acradis PAA Salary,Zone lead
2524,35.0,ARC_S,Acradis PAA Salary,Road Furniture Package Lead
2525,35.0,ARC_S,Acradis PAA Salary,Civil Engineer
2526,36.0,JCB_S,Jacobs PAA Salary,DNOP Cost Control Lead
2527,36.0,JCB_S,Jacobs PAA Salary,South Tunnel South Portal Structures lead
2528,36.0,JCB_S,Jacobs PAA Salary,Flood Modeller
2529,36.0,JCB_S,Jacobs PAA Salary,Flood Modeller
2530,36.0,JCB_S,Jacobs PAA Salary,Flood Modelling Engineer
2531,36.0,JCB_S,Jacobs PAA Salary,Engineering Geologist
2532,36.0,JCB_S,Jacobs PAA Salary,Lead Planner
2533,36.0,JCB_S,Jacobs PAA Salary,Roads & Civil PL
2534,36.0,JCB_S,Jacobs PAA Salary,Roads and Civil Assistant Discipline Lead
2535,36.0,JCB_S,Jacobs PAA Salary,Structural Modelling/drafting lead
2536,36.0,JCB_S,Jacobs PAA Salary,Assistant PDM - South
2537,36.0,JCB_S,Jacobs PAA Salary,
2538,36.0,JCB_S,Jacobs PAA Salary,Structural Engineer
2539,36.0,JCB_S,Jacobs PAA Salary,Drainage PL
2540,36.0,JCB_S,Jacobs PAA Salary,Piled Retaining Walls: Team A
2542,36.0,JCB_S,Jacobs PAA Salary,Northern Precinct Design Manager & Interface Manag
2543,36.0,JCB_S,Jacobs PAA Salary,
2544,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Enginee
2545,36.0,JCB_S,Jacobs PAA Salary,Sustainability Lead Design
2546,36.0,JCB_S,Jacobs PAA Salary,Environmental Planner
2547,35.0,ARC_S,Acradis PAA Salary,Assistant Project Manager
2548,35.0,ARC_S,Acradis PAA Salary,Senior Project Director
2549,36.0,JCB_S,Jacobs PAA Salary,Principal Tunnel ENgineer
2550,36.0,JCB_S,Jacobs PAA Salary,PM
2551,35.0,ARC_S,Acradis PAA Salary,Road Furniture Lead - Project Wide
2552,35.0,ARC_S,Acradis PAA Salary,BIM Coordinator
2553,35.0,ARC_S,Acradis PAA Salary,DNOP Tunnel BIM Lead
2554,38.0,ARC_G,Arcadis GEC,Road Designer
2555,,,,
2556,35.0,ARC_S,Acradis PAA Salary,Digital Engineering Lead
2557,36.0,JCB_S,Jacobs PAA Salary,Civil CAD Manager
2558,36.0,JCB_S,Jacobs PAA Salary,Geologist
2559,36.0,JCB_S,Jacobs PAA Salary,DE Lead for Tunnels/Spaceproofing
2562,36.0,JCB_S,Jacobs PAA Salary,Groundwater modeller
2563,35.0,ARC_S,Acradis PAA Salary,Commercial  - Support Role
2564,36.0,JCB_S,Jacobs PAA Salary,Structural Design Drafter
2565,36.0,JCB_S,Jacobs PAA Salary,Geotechnical Engineer
2566,36.0,JCB_S,Jacobs PAA Salary,Techical Review - Air Quality
2567,35.0,ARC_S,Acradis PAA Salary,Senior Hydrogeologist
2568,35.0,ARC_S,Acradis PAA Salary,Senior doc control and admin
